f;g;p;;;f1;g1;p1
0.55;0.35;0.0065655;;;0.55;0.35;0.006573
0.55;0.4;0.0058401;;;0.55;0.4;0.0058476
0.55;0.45;0.005276;;;0.55;0.45;0.0052835
0.55;0.5;0.0048246;;;0.55;0.5;0.0048321
0.55;0.55;0.0044553;;;0.55;0.55;0.0044628
0.55;0.6;0.0041476;;;0.55;0.6;0.0041551
0.55;0.65;0.0038872;;;0.55;0.65;0.0038947
0.55;0.7;0.003664;;;0.55;0.7;0.0036715
0.55;0.75;0.0034705;;;0.55;0.75;0.003478
0.55;0.8;0.0033013;;;0.55;0.8;0.0033088
0.55;0.85;0.0031519;;;0.55;0.85;0.0031594
0.55;0.9;0.0030192;;;0.55;0.9;0.0030267
0.55;0.95;0.0029004;;;0.55;0.95;0.0029079
0.55;1;0.0027935;;;0.55;1;0.002801
0.6;0.05;0.045145;;;0.6;0.05;0.045153
0.6;0.1;0.022989;;;0.6;0.1;0.022997
0.6;0.15;0.015603;;;0.6;0.15;0.015611
0.6;0.2;0.01191;;;0.6;0.2;0.011918
0.6;0.25;0.0096946;;;0.6;0.25;0.0097028
0.6;0.3;0.0082175;;;0.6;0.3;0.0082257
0.6;0.35;0.0071624;;;0.6;0.35;0.0071706
0.6;0.4;0.0063711;;;0.6;0.4;0.0063793
0.6;0.45;0.0057556;;;0.6;0.45;0.0057638
0.6;0.5;0.0052632;;;0.6;0.5;0.0052714
0.6;0.55;0.0048604;;;0.6;0.55;0.0048685
0.6;0.6;0.0045246;;;0.6;0.6;0.0045328
0.6;0.65;0.0042406;;;0.6;0.65;0.0042487
0.6;0.7;0.0039971;;;0.6;0.7;0.0040052
0.6;0.75;0.003786;;;0.6;0.75;0.0037942
0.6;0.8;0.0036014;;;0.6;0.8;0.0036096
0.6;0.85;0.0034385;;;0.6;0.85;0.0034466
0.6;0.9;0.0032936;;;0.6;0.9;0.0033018
0.6;0.95;0.003164;;;0.6;0.95;0.0031722
0.6;1;0.0030474;;;0.6;1;0.0030556
0.65;0.05;0.048907;;;0.65;0.05;0.048916
0.65;0.1;0.024904;;;0.65;0.1;0.024913
0.65;0.15;0.016903;;;0.65;0.15;0.016912
0.65;0.2;0.012903;;;0.65;0.2;0.012912
0.65;0.25;0.010502;;;0.65;0.25;0.010511
0.65;0.3;0.0089023;;;0.65;0.3;0.0089111
0.65;0.35;0.0077593;;;0.65;0.35;0.0077681
0.65;0.4;0.006902;;;0.65;0.4;0.0069109
0.65;0.45;0.0062352;;;0.65;0.45;0.0062441
0.65;0.5;0.0057018;;;0.65;0.5;0.0057107
0.65;0.55;0.0052654;;;0.65;0.55;0.0052742
0.65;0.6;0.0049017;;;0.65;0.6;0.0049105
0.65;0.65;0.0045939;;;0.65;0.65;0.0046028
0.65;0.7;0.0043302;;;0.65;0.7;0.004339
0.65;0.75;0.0041015;;;0.65;0.75;0.0041104
0.65;0.8;0.0039015;;;0.65;0.8;0.0039104
0.65;0.85;0.003725;;;0.65;0.85;0.0037339
0.65;0.9;0.0035681;;;0.65;0.9;0.003577
0.65;0.95;0.0034277;;;0.65;0.95;0.0034366
0.65;1;0.0033014;;;0.65;1;0.0033102
0.7;0.05;0.052669;;;0.7;0.05;0.052679
0.7;0.1;0.02682;;;0.7;0.1;0.02683
0.7;0.15;0.018204;;;0.7;0.15;0.018213
0.7;0.2;0.013895;;;0.7;0.2;0.013905
0.7;0.25;0.01131;;;0.7;0.25;0.01132
0.7;0.3;0.0095871;;;0.7;0.3;0.0095966
0.7;0.35;0.0083561;;;0.7;0.35;0.0083657
0.7;0.4;0.0074329;;;0.7;0.4;0.0074425
0.7;0.45;0.0067149;;;0.7;0.45;0.0067244
0.7;0.5;0.0061404;;;0.7;0.5;0.00615
0.7;0.55;0.0056704;;;0.7;0.55;0.00568
0.7;0.6;0.0052787;;;0.7;0.6;0.0052883
0.7;0.65;0.0049473;;;0.7;0.65;0.0049569
0.7;0.7;0.0046632;;;0.7;0.7;0.0046728
0.7;0.75;0.004417;;;0.7;0.75;0.0044266
0.7;0.8;0.0042016;;;0.7;0.8;0.0042112
0.7;0.85;0.0040115;;;0.7;0.85;0.0040211
0.7;0.9;0.0038426;;;0.7;0.9;0.0038521
0.7;0.95;0.0036914;;;0.7;0.95;0.0037009
0.7;1;0.0035553;;;0.7;1;0.0035649
0.75;0.05;0.056431;;;0.75;0.05;0.056442
0.75;0.1;0.028736;;;0.75;0.1;0.028746
0.75;0.15;0.019504;;;0.75;0.15;0.019514
0.75;0.2;0.014888;;;0.75;0.2;0.014898
0.75;0.25;0.012118;;;0.75;0.25;0.012128
0.75;0.3;0.010272;;;0.75;0.3;0.010282
0.75;0.35;0.008953;;;0.75;0.35;0.0089632
0.75;0.4;0.0079638;;;0.75;0.4;0.0079741
0.75;0.45;0.0071945;;;0.75;0.45;0.0072047
0.75;0.5;0.006579;;;0.75;0.5;0.0065892
0.75;0.55;0.0060754;;;0.75;0.55;0.0060857
0.75;0.6;0.0056558;;;0.75;0.6;0.005666
0.75;0.65;0.0053007;;;0.75;0.65;0.0053109
0.75;0.7;0.0049963;;;0.75;0.7;0.0050066
0.75;0.75;0.0047325;;;0.75;0.75;0.0047428
0.75;0.8;0.0045017;;;0.75;0.8;0.004512
0.75;0.85;0.0042981;;;0.75;0.85;0.0043083
0.75;0.9;0.004117;;;0.75;0.9;0.0041273
0.75;0.95;0.003955;;;0.75;0.95;0.0039653
0.75;1;0.0038093;;;0.75;1;0.0038195
0.8;0.05;0.060194;;;0.8;0.05;0.060205
0.8;0.1;0.030651;;;0.8;0.1;0.030662
0.8;0.15;0.020804;;;0.8;0.15;0.020815
0.8;0.2;0.01588;;;0.8;0.2;0.015891
0.8;0.25;0.012926;;;0.8;0.25;0.012937
0.8;0.3;0.010957;;;0.8;0.3;0.010968
0.8;0.35;0.0095499;;;0.8;0.35;0.0095608
0.8;0.4;0.0084948;;;0.8;0.4;0.0085057
0.8;0.45;0.0076741;;;0.8;0.45;0.007685
0.8;0.5;0.0070176;;;0.8;0.5;0.0070285
0.8;0.55;0.0064805;;;0.8;0.55;0.0064914
0.8;0.6;0.0060328;;;0.8;0.6;0.0060438
0.8;0.65;0.0056541;;;0.8;0.65;0.005665
0.8;0.7;0.0053294;;;0.8;0.7;0.0053403
0.8;0.75;0.005048;;;0.8;0.75;0.005059
0.8;0.8;0.0048018;;;0.8;0.8;0.0048128
0.8;0.85;0.0045846;;;0.8;0.85;0.0045955
0.8;0.9;0.0043915;;;0.8;0.9;0.0044024
0.8;0.95;0.0042187;;;0.8;0.95;0.0042296
0.8;1;0.0040632;;;0.8;1;0.0040741
0.85;0.05;0.063956;;;0.85;0.05;0.063967
0.85;0.1;0.032567;;;0.85;0.1;0.032579
0.85;0.15;0.022104;;;0.85;0.15;0.022116
0.85;0.2;0.016873;;;0.85;0.2;0.016884
0.85;0.25;0.013734;;;0.85;0.25;0.013746
0.85;0.3;0.011641;;;0.85;0.3;0.011653
0.85;0.35;0.010147;;;0.85;0.35;0.010158
0.85;0.4;0.0090257;;;0.85;0.4;0.0090373
0.85;0.45;0.0081538;;;0.85;0.45;0.0081654
0.85;0.5;0.0074562;;;0.85;0.5;0.0074678
0.85;0.55;0.0068855;;;0.85;0.55;0.0068971
0.85;0.6;0.0064099;;;0.85;0.6;0.0064215
0.85;0.65;0.0060075;;;0.85;0.65;0.006019
0.85;0.7;0.0056625;;;0.85;0.7;0.0056741
0.85;0.75;0.0053635;;;0.85;0.75;0.0053751
0.85;0.8;0.005102;;;0.85;0.8;0.0051136
0.85;0.85;0.0048711;;;0.85;0.85;0.0048827
0.85;0.9;0.004666;;;0.85;0.9;0.0046776
0.85;0.95;0.0044824;;;0.85;0.95;0.004494
0.85;1;0.0043172;;;0.85;1;0.0043288
0.9;0.05;0.067718;;;0.9;0.05;0.06773
0.9;0.1;0.034483;;;0.9;0.1;0.034495
0.9;0.15;0.023405;;;0.9;0.15;0.023417
0.9;0.2;0.017865;;;0.9;0.2;0.017878
0.9;0.25;0.014542;;;0.9;0.25;0.014554
0.9;0.3;0.012326;;;0.9;0.3;0.012338
0.9;0.35;0.010744;;;0.9;0.35;0.010756
0.9;0.4;0.0095566;;;0.9;0.4;0.0095689
0.9;0.45;0.0086334;;;0.9;0.45;0.0086457
0.9;0.5;0.0078948;;;0.9;0.5;0.0079071
0.9;0.55;0.0072905;;;0.9;0.55;0.0073028
0.9;0.6;0.0067869;;;0.9;0.6;0.0067992
0.9;0.65;0.0063608;;;0.9;0.65;0.0063731
0.9;0.7;0.0059956;;;0.9;0.7;0.0060079
0.9;0.75;0.0056791;;;0.9;0.75;0.0056913
0.9;0.8;0.0054021;;;0.9;0.8;0.0054143
0.9;0.85;0.0051577;;;0.9;0.85;0.00517
0.9;0.9;0.0049404;;;0.9;0.9;0.0049527
0.9;0.95;0.0047461;;;0.9;0.95;0.0047583
0.9;1;0.0045711;;;0.9;1;0.0045834
0.95;0.05;0.07148;;;0.95;0.05;0.071493
0.95;0.1;0.036399;;;0.95;0.1;0.036412
0.95;0.15;0.024705;;;0.95;0.15;0.024718
0.95;0.2;0.018858;;;0.95;0.2;0.018871
0.95;0.25;0.01535;;;0.95;0.25;0.015363
0.95;0.3;0.013011;;;0.95;0.3;0.013024
0.95;0.35;0.01134;;;0.95;0.35;0.011353
0.95;0.4;0.010088;;;0.95;0.4;0.0101
0.95;0.45;0.009113;;;0.95;0.45;0.009126
0.95;0.5;0.0083334;;;0.95;0.5;0.0083464
0.95;0.55;0.0076956;;;0.95;0.55;0.0077085
0.95;0.6;0.007164;;;0.95;0.6;0.007177
0.95;0.65;0.0067142;;;0.95;0.65;0.0067272
0.95;0.7;0.0063287;;;0.95;0.7;0.0063416
0.95;0.75;0.0059946;;;0.95;0.75;0.0060075
0.95;0.8;0.0057022;;;0.95;0.8;0.0057151
0.95;0.85;0.0054442;;;0.95;0.85;0.0054572
0.95;0.9;0.0052149;;;0.95;0.9;0.0052279
0.95;0.95;0.0050097;;;0.95;0.95;0.0050227
0.95;1;0.0048251;;;0.95;1;0.004838
1;0.05;0.075242;;;1;0.05;0.075256
1;0.1;0.038314;;;1;0.1;0.038328
1;0.15;0.026005;;;1;0.15;0.026019
1;0.2;0.01985;;;1;0.2;0.019864
1;0.25;0.016158;;;1;0.25;0.016171
1;0.3;0.013696;;;1;0.3;0.013709
1;0.35;0.011937;;;1;0.35;0.011951
1;0.4;0.010618;;;1;0.4;0.010632
1;0.45;0.0095927;;;1;0.45;0.0096063
1;0.5;0.008772;;;1;0.5;0.0087857
1;0.55;0.0081006;;;1;0.55;0.0081142
1;0.6;0.0075411;;;1;0.6;0.0075547
1;0.65;0.0070676;;;1;0.65;0.0070812
1;0.7;0.0066618;;;1;0.7;0.0066754
1;0.75;0.0063101;;;1;0.75;0.0063237
1;0.8;0.0060023;;;1;0.8;0.0060159
1;0.85;0.0057308;;;1;0.85;0.0057444
1;0.9;0.0054894;;;1;0.9;0.005503
1;0.95;0.0052734;;;1;0.95;0.005287
1;1;0.005079;;;1;1;0.0050927
